Nama_Usaha,Alamat_Usaha,Latitude,Longitude
TAPE 82,Jl. Brigjen Pol. Sudarlan 53,-7.931240099999999,113.8140267
Pangkas Rambut Galaxy ,Jln. Pakisan Dusun Lumbung RT/RW 015/005,-7.9634208,113.8747719
PERTANIAN JAYA,jebung kidul,-7.9686482,113.9268811
FARAH CATERING,RT 05 RW 01,-7.914504699999999,113.8232058
Jual Beli Hasil Tambang,"Desa Leprak, Kecamatan Klabang, Kabupaten Bondowoso",-7.810656599999999,113.9120107
LEGATO COFEE,TLOGOSARI RT.04 RW.01 ,-7.997474299999999,113.9357092
DARA COMPUTER,DUSUN LUMBUNG RT/RW 004/002,-7.914504699999999,113.8232058
TOKO SEMBAKO,Dusun Nasar RT. 005 RW. 002,-7.914504699999999,113.8232058
TOKO BERKAH,Dusun Krajan Rt.06 Rw.02,-7.914504699999999,113.8232058
TOKO KANZA,KEJAYAN RT.013 RW.003,-7.9517014,113.8733457
BUDIDAYA IKAN SUCOMINA,Sucolor RT 18 RW 05,-8.0033149,113.6889029
NYEMIL MANTUL,Pasar Kita Jebung Kidul,-7.9676765,113.9206537
Sambal Cakalang Rasa Roa,cermee Rt 021 Rw 000,-7.7783358,114.0249995
Aiko es,"Jln.RE Martadinata Gg.Patih 25/06
Dabasah",-7.914937299999999,113.8248596
BENGKEL,DUSUN PANGOTAAN 02/05,-7.914504699999999,113.8232058
ADEN MARKET,DESA KEMBANG RT.014 RW.005,-7.940866799999999,113.8019562
UD Rasid,Sumber RT 11 RW 02 pejaten Bondowoso,-7.9026505,113.8495503
UD. HIKAM JAYA,Pakem Krajan Rt 002/001,-7.8549161,113.7493763
Jasa reparasi barang logam/perbengkelan,Desa sempol,-7.9673906,113.9060624
"UD."" MITRA UTAMA """,Desa Sumber Gading Rt.0042/Rw.005,-7.950604399999999,113.9744632
KELAPA PAK RENI,PADASAN RT 12 RW 05,-7.9402491,113.8748328
Tegsa,"PB Sudirman 102, Rt 036/ Rw 08, Dabasah",-7.913510700000001,113.8289655
Toko Sembako,Jl. Raya Tamanan RT 2 RW 1 (Utara Pasar Kreongan) ,-7.9566721,113.8298337
PRACANGAN ,GRUJUGAN KIDUL RT.15 RW.02,-7.9701034,113.8198045
penjual pentol keliling,selolembu 06/02 curahdami bondowoso,-7.895772699999998,113.7960067
Potong ayam,Jl. Raya Situbondo,-7.9074216,113.8552574
UD DZUN NAJAH MUNIF,GRUJUKAN LOR RT.019 RW.006,-7.9643291,113.831703
UD. NUAZKHA  GARDEN,Desa Gebang Rt.01/01,-7.9265401,113.8510375
TOKO GALAXI,DALAM PASAR MAESAN DESA GAMBANGAN KECAMATAN MAESAN,-8.030217,113.7764357
BAKSO BU MUNA,PEKALANGAN RT.019 RW.004,-7.9514304,113.8569865
TERANG BULAN CAK WAFI,PADASAN RT 06 RW 03,-7.9402491,113.8748328
UD.ABD AZIS,Gadingsari Rt 14 Rw 04,-7.9137789,113.7484077
,gadingsari Rt 14 Rw 04,-7.9137789,113.7484077
Pedagang Pakaian,Dusun Song tengah RT 020 RW 006 Desa Karanganyar Kec. Tegalampel Kab. Bondowoso ,-7.9007434,113.8183172
Pedagang Pakaian Keliling,Maskuning Kulon,-7.985251,113.9030883
BAROKAH TANI,Dusun Kranang Desa Bajuran,-7.825884899999999,114.0465708
"TOKO "" AGAM """,Desa Sukosari Lor RT.020 RW.009,-7.941958100000001,113.9506727
pertanian,JETIS Rt 05 Rw 02,-7.914504699999999,113.8232058
PANDAI BESI,DUSUN KARANG TENGAH RT.12 RW.03,-7.914504699999999,113.8232058
pengecer gas elpiji,dusun kampung baru 05/03 koncer darul amantenggarang bondowoso,-7.914504699999999,113.8232058
Aje-Desain,"Kelurahan/Desa Pakem,
Kecamatan Pakem,
Kab/Kota Kab. Bondowoso,
Provinsi Jawa Timur.",-7.863637499999999,113.7424575
BENGKEL CAT MOBIL TIGA SERANGKAI,Jl. Kopral Moerin RT.012/ RW.003,-7.909532999999999,113.8407076
MUNMUN JAYA,KERANG SUKOSARI BONDOWOSO,-7.9379948,113.9328291
Meubel,"DUSUN PANGUTAAN RT. 02 RW. 05, PAKUNIRAN, MAESAN, BONDOWOSO",-8.012717,113.7841073
Sablon ,Dsn. Dawuan RT/RW:004/000,-7.914504699999999,113.8232058
PERDAGANGAN,JETIS RT 08 RW 03,-7.9673906,113.9060624
Tape Bondowoso 88,Sumber tengah rt 2 rw 1 binakal Bondowoso,-7.881697199999999,113.7781575
UD FARHAN  SEJAHTERA,DUSUN TAHUAN RT.022 RW.005,-7.914504699999999,113.8232058
MEBEL PAK RASEK,SUKOKERTO RT.011/004,-8.0038435,113.8882172
NUR CAHYA PONDOK JERUK,pondok jeruk rt 20 / rw 06 sukorejo sumber wringin,-7.968250800000001,114.0160937
,pondok jeruk rt 20 /rw 06 sukorejo sumber wringin,-7.968250800000001,114.0160937
ZAIDAN JAYA,"Sulek, RT.015 RW.007",-7.988124200000001,113.938777
PENJUAL IKAN KELILING,DUSUN PARSEH RT.06 RW.04,-7.914504699999999,113.8232058
Counter Pulsa dan Foto Copy,Desa mengok rt.022 rw.004 kecamatan pujer kabupaten bondowoso,-7.9722675,113.8673969
DEHWAA,JL RAYA BESUKI,-7.914504699999999,113.8232058
,JL.RAYA BESUKI,-7.914504699999999,113.8232058
KULINER,JEBUNG KIDUL,-7.9686482,113.9268811
cahaya intan,dusun karang malang rt10 rw02 desa tegalpasir kec jambesari DS kab Bondowoso,-7.9696525,113.8480631
Pemotongan ayam broiler,Dusun karang malang RT. 023 RW .005 kelurahan/desa jambesari. Kecamatan jambesari darussholah,-7.9841814,113.8376522
Pracangan,"DUSUN PANGUTAAN, PAKUNIRAN, MAESAN, BONDOWOSO",-8.012717,113.7841073
UD GLOBAL MOTOR,RT.001/ RW.001,-7.914504699999999,113.8232058
BAROKAH ,HOS COKROMINOTO 49 RT.024 RW.004 ,-7.914504699999999,113.8232058
TANI LATIF,DUSUN KRAJAN RT/RW 010/003,-7.914504699999999,113.8232058
UD PESONA JEPARA,Jalan Cokroaminoto RT.002 RW.001,-7.914504699999999,113.8232058
TOKO FARINA,DESA JUMPONG RT.004 RW.001,-7.927626699999999,113.8748328
TOKO PAK WAFI,KASEMEK RT.015/008,-7.960811000000001,113.8688841
TOKO KELONTONG,DUSUN GABUGAN RT 12 RW 3,-7.914504699999999,113.8232058
BENGKEL MOBIL BAROKAH JAYA MOTOR,Desa Jebung Lor RT 015 RW 001,-7.9596345,113.9090366
Pedagang mainan ,Jl kismangunsarkoro,-7.9189634,113.8282036
RUMAH HAMDAN,PERUM PANCORAN MAS BLOK D-14,-6.3946317,106.7950631
Tani makmur,Koarah Rt 01/Rw 06,-7.914504699999999,113.8232058
Pertanian,Jambeanom,-7.9893228,113.8569865
TOKO BERKAH,Dusun Tengginah RT 14 RW 03,-8.0106381,113.7974941
PERTANIAN JAYA,brambang darussalam,-8.0317706,113.9685157
TOKO SUMBER REJEKI,DESA SUMBERWRINGIN RT.005 RW.001,-7.9895352,113.9982525
PANGKAS RAMBUT ASIS,Jl. Kis Mangun Sarkoro,-7.9189634,113.8282036
WARUNG,DUSUN EKA PRAJA RT 09/ RW 3,-7.914504699999999,113.8232058
UD. SISKA,Koncer Kidul Rt. 010 Rw. 004,-7.939429899999999,113.8257538
NAY'S KITCHEN,Dusun Krajan RT. 005 RW. 002,-7.914504699999999,113.8232058
TOKO ODIK LAONAN,Desa Jebung Lor RT 021 RW003,-7.9596345,113.9090366
