Nama_Usaha,Alamat_Usaha,Kec_Usaha,Latitude,Longitude
TAPE 82,Jl. Brigjen Pol. Sudarlan 53,Bondowoso,,
Pangkas Rambut Galaxy ,Jln. Pakisan Dusun Lumbung RT/RW 015/005,Tenggarang,,
PERTANIAN JAYA,jebung kidul,Tlogosari,-7.9693898,113.923198
FARAH CATERING,RT 05 RW 01,Tenggarang,-7.9134402,113.8222709
Jual Beli Hasil Tambang,"Desa Leprak, Kecamatan Klabang, Kabupaten Bondowoso",Klabang,,
LEGATO COFEE,TLOGOSARI RT.04 RW.01 ,Tlogosari,-7.9977997,113.9344974
LEGATO COFFEE,TLOGOSARI RT.04 RW.01 ,Tlogosari,-7.9977997,113.9344974
DARA COMPUTER,DUSUN LUMBUNG RT/RW 004/002,Curahdami,,
TOKO SEMBAKO,Dusun Nasar RT. 005 RW. 002,Tamanan,,
TOKO BERKAH,Dusun Krajan Rt.06 Rw.02,Jambesari Darus Sholah,,
TOKO KANZA,KEJAYAN RT.013 RW.003,Pujer,,
BUDIDAYA IKAN SUCOMINA,Sucolor RT 18 RW 05,Maesan,,
NYEMIL MANTUL,Pasar Kita Jebung Kidul,Tlogosari,,
Sambal Cakalang Rasa Roa,cermee Rt 021 Rw 000,Cermee,,
Aiko es,"Jln.RE Martadinata Gg.Patih 25/06
Dabasah",Bondowoso,,
BENGKEL,DUSUN PANGOTAAN 02/05,Maesan,,
ADEN MARKET,DESA KEMBANG RT.014 RW.005,Bondowoso,,
UD Rasid,Sumber RT 11 RW 02 pejaten Bondowoso,Bondowoso,-7.8953473,113.8386385
UD. HIKAM JAYA,Pakem Krajan Rt 002/001,Pakem,,
Jasa reparasi barang logam/perbengkelan,Desa sempol,Sempol,-8.0061677,114.1506193
"UD."" MITRA UTAMA """,Desa Sumber Gading Rt.0042/Rw.005,Sumberwringin,,
KELAPA PAK RENI,PADASAN RT 12 RW 05,Pujer,,
Tegsa,"PB Sudirman 102, Rt 036/ Rw 08, Dabasah",Bondowoso,,
Toko Sembako,Jl. Raya Tamanan RT 2 RW 1 (Utara Pasar Kreongan) ,Jambesari Darus Sholah,,
PRACANGAN ,GRUJUGAN KIDUL RT.15 RW.02,Grujugan,,
penjual pentol keliling,selolembu 06/02 curahdami bondowoso,Curahdami,-7.8966014,113.7897075
Potong ayam,Jl. Raya Situbondo,Tenggarang,-7.8868878,113.89253
UD DZUN NAJAH MUNIF,GRUJUKAN LOR RT.019 RW.006,Jambesari Darus Sholah,,
UD. NUAZKHA  GARDEN,Desa Gebang Rt.01/01,Tenggarang,,
UD. NUAZKHA GARDEN,Desa Gebang Rt.01/01,Tenggarang,,
TOKO GALAXI,DALAM PASAR MAESAN DESA GAMBANGAN KECAMATAN MAESAN,Maesan,,
BAKSO BU MUNA,PEKALANGAN RT.019 RW.004,Tenggarang,,
TERANG BULAN CAK WAFI,PADASAN RT 06 RW 03,Pujer,-7.9428496,113.8795073
UD.ABD AZIS,Gadingsari Rt 14 Rw 04,Pakem,-7.877319,113.7317341
Pedagang Pakaian,Dusun Song tengah RT 020 RW 006 Desa Karanganyar Kec. Tegalampel Kab. Bondowoso ,Tegalampel,,
Pedagang Pakaian Keliling,Maskuning Kulon,Pujer,-7.9887111,113.8935815
BAROKAH TANI,Dusun Kranang Desa Bajuran,Cermee,,
"TOKO "" AGAM """,Desa Sukosari Lor RT.020 RW.009,Sukosari,,
pertanian,JETIS Rt 05 Rw 02,Curahdami,-7.9546231,113.7920144
PANDAI BESI,DUSUN KARANG TENGAH RT.12 RW.03,Tamanan,,
pengecer gas elpiji,dusun kampung baru 05/03 koncer darul amantenggarang bondowoso,Tenggarang,,
Aje-Desain,"Kelurahan/Desa Pakem,
Kecamatan Pakem,
Kab/Kota Kab. Bondowoso,
Provinsi Jawa Timur.",Pakem,,
BENGKEL CAT MOBIL TIGA SERANGKAI,Jl. Kopral Moerin RT.012/ RW.003,Bondowoso,,
MUNMUN JAYA,KERANG SUKOSARI BONDOWOSO,Sukosari,,
Meubel,"DUSUN PANGUTAAN RT. 02 RW. 05, PAKUNIRAN, MAESAN, BONDOWOSO",Maesan,,
Sablon ,Dsn. Dawuan RT/RW:004/000,Cermee,,
PERDAGANGAN,JETIS RT 08 RW 03,Curahdami,-7.9546231,113.7920144
Tape Bondowoso 88,Sumber tengah rt 2 rw 1 binakal Bondowoso,Binakal,,
UD FARHAN  SEJAHTERA,DUSUN TAHUAN RT.022 RW.005,Tamanan,,
MEBEL PAK RASEK,SUKOKERTO RT.011/004,Pujer,,
NUR CAHYA PONDOK JERUK,pondok jeruk rt 20 / rw 06 sukorejo sumber wringin,Sumberwringin,,
ZAIDAN JAYA,"Sulek, RT.015 RW.007",Tlogosari,,
PENJUAL IKAN KELILING,DUSUN PARSEH RT.06 RW.04,Wringin,,
Counter Pulsa dan Foto Copy,Desa mengok rt.022 rw.004 kecamatan pujer kabupaten bondowoso,Pujer,,
DEHWAA,JL RAYA BESUKI,Binakal,,
KULINER,JEBUNG KIDUL,Tlogosari,-7.9693898,113.923198
cahaya intan,dusun karang malang rt10 rw02 desa tegalpasir kec jambesari DS kab Bondowoso,Jambesari Darus Sholah,,
Pemotongan ayam broiler,Dusun karang malang RT. 023 RW .005 kelurahan/desa jambesari. Kecamatan jambesari darussholah,Jambesari Darus Sholah,,
Pracangan,"DUSUN PANGUTAAN, PAKUNIRAN, MAESAN, BONDOWOSO",Maesan,,
UD GLOBAL MOTOR,RT.001/ RW.001,Wonosari,,
BAROKAH ,HOS COKROMINOTO 49 RT.024 RW.004 ,Bondowoso,,
TANI LATIF,DUSUN KRAJAN RT/RW 010/003,Jambesari Darus Sholah,,
UD PESONA JEPARA,Jalan Cokroaminoto RT.002 RW.001,Bondowoso,,
